Material;Descrição;Status;PP_TIPO_SACO_COLADO;PP_ALTURA_UTIL;PP_FACE;PP_PATCH;PP_FUNDO;PP_FUNDO_INF;PP_VALVULA;PP_PERFURADO_TUBEIRA;PP_PERFURADO_COLADEIRA;PP_FUROS_COLADEIRA;PP_DIAMETRO_FUROS_COLADEI;PP_NUMERO_FOLHAS;PP_PAPEL_EXTERNO;PP_GRAMATURA_EXTERNO;PP_PAPEL_2;PP_GRAMATURA_2;PP_PAPEL_3;PP_GRAMATURA_3;PP_PAPEL_4;PP_GRAMATURA_4;PP_PAPEL_5;PP_GRAMATURA_5;PP_PAPEL_INTERNO;PP_GRAMATURA_INTERNO;PP_TIP_PERF_FOL_EXT;PP_TIP_PERF_FOL_2;PP_TIP_PERF_FOL_3;PP_TIP_PERF_FOL_4;PP_TIP_PERF_FOL_5;PP_TIP_PERF_FOL_INT;PP_LARGURA_PEAD;PP_PERMEANCIA
534005;COLMI  96x72  80219902 GLEASON;C;COLMI;580;470;X;100;;100;N;N;;;2;SAK;90;;;;;;;;;SAK;90;;;;;;;;50
534023;COLMI  96x72  80219905 SPCT 1;C;COLMI;580;470;X;100;100;100;N;N;;;2;SAK;90;;;;;;;;;SAK;90;;;;;;;;50
534039;COLMI  96x72  80219903 NEW FOUNDRY;C;COLMI;580;470;X;100;;100;N;N;;;2;SAK;90;;;;;;;;;SAK;90;;;;;;;;50
534506;COLMI  95X69 80214705 TAU MOD;C;COLMI;535;460;X;120;;120;S;N;;;3;SAK;85;PAX;10;;;;;;;SAK;85;MIC PERF TOTAL;NÃO PERFURAR;;;;MIC PERF TOTAL;930;60
534701;COLMI  102x75  80214704 PLAIN WHITE 1919;C;COLMI;600;495;X;115;;105;S;N;;;3;SBK;83;PAX;8;;;;;;;SAK;85;NÃO PERFURAR;NÃO PERFURAR;;;;MIC PERF TOTAL;1000;50
534717;COLMI  95X69 80194928 THERMO GEL;C;COLMI;535;460;X;120;;120;S;S;40;1.00;3;SAK;85;SPA;10;;;;;;;SAK;85;MIC PERF TOTAL;NÃO PERFURAR;;;;MIC PERF TOTAL;930;30
534812;COLMI107x85 80077745 HYD LIME HI CALCIUM;C;COLMI;660;520;X;155;;90;S;N;;;2;SBK;83;;;;;;;;;SAK;90;MIC PERF TOTAL;;;;;MIC PERF TOTAL;;140
536375;COLMI  102x75 IGS 80194922;C;COLMI;600;495;X;115;;105;S;S;32;1.00;3;SAK;85;PAX;10;;;;;;;SAK;85;CILIN 1 TOT;NÃO PERFURAR;;;;MIC PERF TOTAL;1000;50
537452;COLMI 107x85 80077758 50 HYD LIME;C;COLMI;660;520;X;155;;90;S;N;;;2;SBK;83;;;;;;;;;SAK;90;MIC PERF TOTAL;;;;;MIC PERF TOTAL;;70
537867;COLMI 68X65 80109038 TEXLIME MINUS 100;C;COLMI;510;330;X;105;105;105;S;N;;;2;SAK;90;;;;;;;;;SAK;90;CILIN 2 TOT;;;;;CILIN 2 TOT;;70
543016;COLVA 70x56 REBOCO EXTERNO 20KG 9008447R;L;COLVA;415;335;X;110;110;110;S;N;;;3;SDK;70;PAX;8;;;;;;;SAK;70;NANO PERF TOT;NÃO PERFURAR;;;;NANO PERF TOT;680;20
543033;COLVA 70x56 COZ BANHEIROS 20KG 9008353 R;L;COLVA;415;335;X;110;110;110;S;N;;;3;SDK;70;PAX;8;;;;;;;SAK;70;NANO PERF TOT;NÃO PERFURAR;;;;NANO PERF TOT;680;20
543198;COLVA 70x56  TECNOSOF20KG 9006897R 7cor;C;COLVA;415;335;X;110;;110;S;N;;;3;SAK;70;PAX;10;;;;;;;SAK;70;NANO PERF TOT;NÃO PERFURAR;;;;NANO PERF TOT;680;20
543270;COLVA 70x58 PORC INT BCO 9006387R;L;COLVA;435;335;X;110;110;110;S;N;;;3;SDK;70;PAX;8;;;;;;;SAK;70;NANO PERF TOT;NÃO PERFURAR;;;;NANO PERF TOT;680;20
543335;COLMI 76x60 SUPER GRAUTE 25KG  9000146;L;COLMI;455;365;X;110;110;110;S;N;;;3;SDK;80;PAX;8;;;;;;;SAK;120;NANO PERF TOT;NÃO PERFURAR;;;;NANO PERF TOT;740;20
